"Time","Population","Curve_ID"
98,350,58
99,350,58
100,350,58
0,1,59
1,1,59
2,1,59
3,1,59
4,1,59
5,1,59
6,1,59
7,1,59
8,1,59
9,1,59
10,1.56769242717908,59
11,2.45255623720507,59
12,3.82442565274753,59
13,5.93358269552566,59
14,9.13416875433456,59
15,13.8935176302872,59
16,20.7535469296005,59
17,30.1843802844908,59
18,42.2684373491643,59
19,56.2613270773002,59
20,70.3721869861334,59
21,82.3279844527033,59
22,90.6707775751472,59
23,95.521324317584,59
24,97.9744955090704,59
25,99.1124480572078,59
26,99.6168768737217,59
27,99.8357282066684,59
28,99.9297712975888,59
29,99.9700140284352,59
30,99.9872036289648,59
31,99.9945404707346,59
32,99.9976709396345,59
33,99.9990064539146,59
34,99.9995761741013,59
35,99.9998192061553,59
36,99.9999228779845,59
37,99.9999671017728,59
38,99.9999859664883,59
39,99.9999940136774,59
40,99.9999974463944,59
41,99.9999989107,59
42,99.9999995353337,59
43,99.9999998017857,59
44,99.9999999154471,59
45,99.999999963932,59
46,99.9999999846143,59
47,99.9999999934369,59
48,99.9999999972003,59
49,99.9999999988057,59
50,99.9999999994906,59
51,99.9999999997827,59
52,99.9999999999073,59
53,99.9999999999605,59
54,99.9999999999831,59
55,99.9999999999928,59
56,99.9999999999969,59
57,99.9999999999987,59
58,99.9999999999994,59
59,99.9999999999998,59
60,99.9999999999999,59
61,100,59
62,100,59
63,100,59
64,100,59
65,100,59
66,100,59
67,100,59
68,100,59
69,100,59
70,100,59
71,100,59
72,100,59
73,100,59
74,100,59
75,100,59
76,100,59
77,100,59
78,100,59
79,100,59
80,100,59
81,100,59
82,100,59
83,100,59
84,100,59
85,100,59
86,100,59
87,100,59
88,100,59
89,100,59
90,100,59
91,100,59
92,100,59
93,100,59
94,100,59
95,100,59
96,100,59
97,100,59
98,100,59
99,100,59
100,100,59
0,4.5,60
1,4.5,60
2,4.5,60
3,4.5,60
4,4.5,60
5,5.86465718730865,60
6,7.6377085224903,60
7,9.93758506763497,60
8,12.9144455559586,60
9,16.7568720120913,60
10,21.6987040435553,60
11,28.0249566546017,60
12,36.074941462106,60
13,46.239550959788,60
14,58.9482392384833,60
15,74.6398825591225,60
16,93.7112756813986,60
17,116.439069077173,60
18,142.877595555032,60
19,172.747853769907,60
20,205.350355140176,60
21,239.548566542623,60
22,273.865526608106,60
23,306.701135792025,60
24,336.618372469007,60
25,362.59865366641,60
26,384.171510161611,60
27,401.386326419991,60
28,414.668965103463,60
29,424.641859867514,60
30,431.971852625028,60
31,437.273000187366,60
32,441.061279956548,60
33,443.745002496668,60
34,445.634402711576,60
35,446.958700721677,60
36,447.884016354591,60
37,448.529137408294,60
38,448.978219884295,60
39,449.290501246614,60
40,449.507492495013,60
41,449.658192453462,60
42,449.762815533698,60
43,449.835431669475,60
44,449.885823863576,60
45,449.920789464477,60
46,449.945048992944,60
47,449.961879549518,60
48,449.973555630302,60
49,449.981655603025,60
50,449.987274636172,60
51,449.991172563922,60
52,449.993876534243,60
53,449.995752250931,60
54,449.997053410657,60
55,449.997956005044,60
56,449.998582119463,60
57,449.999016443766,60
58,449.999317726404,60
59,449.999526720378,60
60,449.999671695408,60
61,449.999772261714,60
62,449.999842022552,60
63,449.999890414243,60
64,449.999923982583,60
65,449.999947268261,60
66,449.999963421064,60
67,449.999974625936,60
68,449.999982398528,60
69,449.999987790217,60
70,449.999991530322,60
71,449.999994124757,60
72,449.999995924463,60
73,449.999997172883,60
74,449.999998038887,60
75,449.999998639616,60
76,449.999999056329,60
77,449.999999345395,60
78,449.999999545914,60
79,449.999999685009,60
80,449.999999781497,60
81,449.999999848429,60
82,449.999999894858,60
83,449.999999927065,60
84,449.999999949407,60
85,449.999999964904,60
86,449.999999975655,60
87,449.999999983112,60
88,449.999999988285,60
89,449.999999991874,60
90,449.999999994363,60
91,449.99999999609,60
92,449.999999997288,60
93,449.999999998118,60
94,449.999999998695,60
95,449.999999999095,60
96,449.999999999372,60
97,449.999999999564,60
98,449.999999999698,60
99,449.99999999979,60
100,449.999999999855,60
0,2.5,61
1,2.5,61
2,2.5,61
3,2.5,61
4,2.5,61
5,2.5,61
6,2.5,61
7,2.5,61
8,2.5,61
9,4.94371290304058,61
10,9.72840572362225,61
11,18.9600502811301,61
12,36.2606650607847,61
13,66.8700913003444,61
14,115.234531468127,61
15,176.567817859642,61
16,227.775244774618,61
17,247.768268370634,61
18,249.952117460767,61
19,249.999385649771,61
20,249.999992232354,61
21,249.999999901807,61
22,249.999999998759,61
23,249.999999999984,61
24,250,61
25,250,61
26,250,61
27,250,61
28,250,61
29,250,61
30,250,61
31,250,61
32,250,61
33,250,61
34,250,61
35,250,61
36,250,61
37,250,61
38,250,61
39,250,61
40,250,61
41,250,61
42,250,61
43,250,61
44,250,61
45,250,61
46,250,61
47,250,61
48,250,61
49,250,61
50,250,61
51,250,61
52,250,61
53,250,61
54,250,61
55,250,61
56,250,61
57,250,61
58,250,61
59,250,61
60,250,61
61,250,61
62,250,61
63,250,61
64,250,61
65,250,61
66,250,61
67,250,61
68,250,61
69,250,61
70,250,61
71,250,61
72,250,61
73,250,61
74,250,61
75,250,61
76,250,61
77,250,61
78,250,61
79,250,61
80,250,61
81,250,61
82,250,61
83,250,61
84,250,61
85,250,61
86,250,61
87,250,61
88,250,61
89,250,61
90,250,61
91,250,61
92,250,61
93,250,61
94,250,61
95,250,61
96,250,61
97,250,61
98,250,61
99,250,61
100,250,61
0,2,62
1,2,62
2,2,62
3,2,62
4,2,62
5,2.45428197174938,62
6,3.01047096976871,62
7,3.69078260971223,62
8,4.52195187091386,62
9,5.53598990758725,62
10,6.77098389462738,62
11,8.27189316313764,62
12,10.0912631107689,62
13,12.289734363529,62
14,14.9361669553228,62
15,18.1071288904826,62
16,21.8854214877281,62
17,26.3572454495054,62
18,31.6075803169702,62
19,37.7134018177422,62
20,44.7345587672665,62
21,52.7025395156296,62
22,61.6080151162922,62
23,71.3889072937685,62
24,81.9216015786213,62
25,93.0184385151568,62
26,104.434289561677,62
27,115.883499676946,62
28,127.06585052278,62
29,137.697241422027,62
30,147.538776218987,62
31,156.417998134751,62
32,164.238312556333,62
33,170.976185133827,62
34,176.668913140391,62
35,181.39743524937,62
36,185.268534296099,62
37,188.399497336025,62
38,190.906685125707,62
39,192.898154731635,62
40,194.469709769784,62
41,195.703468406696,62
42,196.668067497891,62
43,197.419794865279,62
44,198.004147824453,62
45,198.457497152105,62
46,198.808672321571,62
47,199.080376847773,62
48,199.290400722636,62
49,199.452630234399,62
50,199.577872492465,62
51,199.674519043082,62
52,199.749074347421,62
53,199.806573329181,62
54,199.850909322696,62
55,199.885090493347,62
56,199.911439647446,62
57,199.931749524747,62
58,199.947403251996,62
59,199.959467631149,62
60,199.968765304282,62
61,199.975930528098,62
